Namespace(data_path='CIFAR10/', train_batch_size=128, test_batch_size=100, epochs=50, optimizer='sgdn', learning_rate=0.1, momentum=0.9, weight_decay=0.0005, save=False, print_summary=False, no_training=False)

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Printing Model Summary...


Training...


Epoch: 1 ;	Train Loss: 1.61278980 ;	Train Accuracy: 41.232 ;	Test Loss: 1.43449363 ;	Test Accuracy: 49.580 ;
Epoch: 2 ;	Train Loss: 1.07189065 ;	Train Accuracy: 61.556 ;	Test Loss: 1.00004352 ;	Test Accuracy: 64.040 ;
Epoch: 3 ;	Train Loss: 0.87551934 ;	Train Accuracy: 68.986 ;	Test Loss: 0.94091777 ;	Test Accuracy: 67.360 ;
Epoch: 4 ;	Train Loss: 0.74684662 ;	Train Accuracy: 73.710 ;	Test Loss: 0.92022500 ;	Test Accuracy: 69.220 ;
Epoch: 5 ;	Train Loss: 0.64026906 ;	Train Accuracy: 77.822 ;	Test Loss: 0.74850738 ;	Test Accuracy: 74.100 ;
Epoch: 6 ;	Train Loss: 0.57397602 ;	Train Accuracy: 80.168 ;	Test Loss: 0.79747893 ;	Test Accuracy: 72.620 ;
Epoch: 7 ;	Train Loss: 0.53775106 ;	Train Accuracy: 81.368 ;	Test Loss: 0.61871227 ;	Test Accuracy: 79.320 ;
Epoch: 8 ;	Train Loss: 0.50144178 ;	Train Accuracy: 82.820 ;	Test Loss: 0.65180631 ;	Test Accuracy: 79.130 ;
Epoch: 9 ;	Train Loss: 0.48124506 ;	Train Accuracy: 83.488 ;	Test Loss: 0.74592112 ;	Test Accuracy: 75.410 ;
Epoch: 10 ;	Train Loss: 0.46342738 ;	Train Accuracy: 84.224 ;	Test Loss: 0.52006019 ;	Test Accuracy: 82.540 ;
Epoch: 11 ;	Train Loss: 0.44838929 ;	Train Accuracy: 84.544 ;	Test Loss: 0.56170598 ;	Test Accuracy: 81.630 ;
Epoch: 12 ;	Train Loss: 0.43840652 ;	Train Accuracy: 84.776 ;	Test Loss: 0.65406603 ;	Test Accuracy: 78.710 ;
Epoch: 13 ;	Train Loss: 0.42856552 ;	Train Accuracy: 85.252 ;	Test Loss: 0.53657340 ;	Test Accuracy: 81.960 ;
Epoch: 14 ;	Train Loss: 0.41396320 ;	Train Accuracy: 85.788 ;	Test Loss: 0.77002761 ;	Test Accuracy: 77.080 ;
Epoch: 15 ;	Train Loss: 0.41037523 ;	Train Accuracy: 85.732 ;	Test Loss: 0.50747624 ;	Test Accuracy: 82.950 ;
Epoch: 16 ;	Train Loss: 0.39936580 ;	Train Accuracy: 86.328 ;	Test Loss: 0.64562371 ;	Test Accuracy: 78.850 ;
Epoch: 17 ;	Train Loss: 0.39281211 ;	Train Accuracy: 86.570 ;	Test Loss: 0.55173512 ;	Test Accuracy: 81.610 ;
Epoch: 18 ;	Train Loss: 0.39076423 ;	Train Accuracy: 86.598 ;	Test Loss: 0.68627027 ;	Test Accuracy: 78.970 ;
Epoch: 19 ;	Train Loss: 0.38511957 ;	Train Accuracy: 87.066 ;	Test Loss: 0.60964139 ;	Test Accuracy: 79.610 ;
