

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : sgd
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_1

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.71332256 ;	Train Accuracy: 37.130 ;	Test Loss: 1.46526717 ;	Test Accuracy: 46.440 ;
Epoch: 2 ;	Train Loss: 1.22135961 ;	Train Accuracy: 55.464 ;	Test Loss: 1.14901284 ;	Test Accuracy: 58.870 ;
Epoch: 3 ;	Train Loss: 0.97087187 ;	Train Accuracy: 65.614 ;	Test Loss: 1.16558895 ;	Test Accuracy: 60.020 ;
Epoch: 4 ;	Train Loss: 0.81409300 ;	Train Accuracy: 71.276 ;	Test Loss: 0.80702378 ;	Test Accuracy: 71.980 ;
Epoch: 5 ;	Train Loss: 0.68547633 ;	Train Accuracy: 76.176 ;	Test Loss: 0.72127156 ;	Test Accuracy: 75.070 ;
Epoch: 6 ;	Train Loss: 0.61519257 ;	Train Accuracy: 78.772 ;	Test Loss: 0.65831207 ;	Test Accuracy: 77.520 ;
Epoch: 7 ;	Train Loss: 0.56140765 ;	Train Accuracy: 80.754 ;	Test Loss: 0.58673276 ;	Test Accuracy: 80.340 ;
Epoch: 8 ;	Train Loss: 0.52922830 ;	Train Accuracy: 81.814 ;	Test Loss: 0.73327466 ;	Test Accuracy: 76.070 ;
Epoch: 9 ;	Train Loss: 0.50265695 ;	Train Accuracy: 82.596 ;	Test Loss: 0.76419023 ;	Test Accuracy: 75.550 ;
Epoch: 10 ;	Train Loss: 0.48775932 ;	Train Accuracy: 83.358 ;	Test Loss: 0.58462303 ;	Test Accuracy: 80.330 ;
Epoch: 11 ;	Train Loss: 0.46686506 ;	Train Accuracy: 84.018 ;	Test Loss: 0.64217291 ;	Test Accuracy: 79.370 ;
Epoch: 12 ;	Train Loss: 0.45272563 ;	Train Accuracy: 84.428 ;	Test Loss: 0.70114463 ;	Test Accuracy: 77.380 ;
Epoch: 13 ;	Train Loss: 0.43682178 ;	Train Accuracy: 85.036 ;	Test Loss: 0.56450009 ;	Test Accuracy: 81.680 ;
Epoch: 14 ;	Train Loss: 0.43050766 ;	Train Accuracy: 85.382 ;	Test Loss: 0.60073250 ;	Test Accuracy: 80.000 ;
Epoch: 15 ;	Train Loss: 0.42694925 ;	Train Accuracy: 85.526 ;	Test Loss: 0.72078459 ;	Test Accuracy: 77.350 ;
Epoch: 16 ;	Train Loss: 0.41914035 ;	Train Accuracy: 85.702 ;	Test Loss: 0.67723161 ;	Test Accuracy: 78.000 ;
Epoch: 17 ;	Train Loss: 0.40454491 ;	Train Accuracy: 86.286 ;	Test Loss: 0.50210093 ;	Test Accuracy: 83.390 ;
Epoch: 18 ;	Train Loss: 0.39765646 ;	Train Accuracy: 86.502 ;	Test Loss: 0.55666353 ;	Test Accuracy: 82.020 ;
