

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : adagrad
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_6

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.35744445 ;	Train Accuracy: 50.524 ;	Test Loss: 1.16176790 ; 	Test Accuracy: 59.290 ;
Epoch: 2 ;	Train Loss: 0.96400878 ;	Train Accuracy: 65.868 ;	Test Loss: 0.92533406 ; 	Test Accuracy: 67.440 ;
Epoch: 3 ;	Train Loss: 0.82036776 ;	Train Accuracy: 70.952 ;	Test Loss: 0.78506070 ; 	Test Accuracy: 72.190 ;
Epoch: 4 ;	Train Loss: 0.72401232 ;	Train Accuracy: 74.672 ;	Test Loss: 0.75551234 ; 	Test Accuracy: 73.410 ;
Epoch: 5 ;	Train Loss: 0.65988357 ;	Train Accuracy: 76.918 ;	Test Loss: 0.72309116 ; 	Test Accuracy: 74.900 ;
Epoch: 6 ;	Train Loss: 0.61260232 ;	Train Accuracy: 78.720 ;	Test Loss: 0.63487301 ; 	Test Accuracy: 78.110 ;
Epoch: 7 ;	Train Loss: 0.57563503 ;	Train Accuracy: 80.122 ;	Test Loss: 0.65777487 ; 	Test Accuracy: 76.990 ;
Epoch: 8 ;	Train Loss: 0.54598047 ;	Train Accuracy: 81.178 ;	Test Loss: 0.60440497 ; 	Test Accuracy: 79.000 ;
Epoch: 9 ;	Train Loss: 0.51962427 ;	Train Accuracy: 82.162 ;	Test Loss: 0.60530327 ; 	Test Accuracy: 79.080 ;
Epoch: 10 ;	Train Loss: 0.49833433 ;	Train Accuracy: 82.830 ;	Test Loss: 0.56559806 ; 	Test Accuracy: 80.540 ;
Epoch: 11 ;	Train Loss: 0.48113871 ;	Train Accuracy: 83.348 ;	Test Loss: 0.56353624 ; 	Test Accuracy: 80.520 ;
Epoch: 12 ;	Train Loss: 0.46094516 ;	Train Accuracy: 84.150 ;	Test Loss: 0.53915656 ; 	Test Accuracy: 81.630 ;
Epoch: 13 ;	Train Loss: 0.44541199 ;	Train Accuracy: 84.842 ;	Test Loss: 0.53761155 ; 	Test Accuracy: 81.670 ;
Epoch: 14 ;	Train Loss: 0.43123856 ;	Train Accuracy: 85.124 ;	Test Loss: 0.52665580 ; 	Test Accuracy: 81.870 ;
