

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
val_batch_size     : 256
test_batch_size    : 256
epochs             : 60
test_transform     : TestTransform_1
train_transform    : TrainTransform_1
model              : ResNet10_2
optimizer          : adadelta
learning_rate      : 0.2
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
validate           : True
save               : False
print_summary      : False
no_training        : False
save_plot          : False
plot_transforms    : False
output_file_prefix : ResNet

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 1, 1] 
C (# Channels)	: [64, 128, 256, 512] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4

Training...


Epoch: 1 ;	Train Loss: 1.39254970 ;	Train Accuracy: 48.920 ;	Val Loss: 1.44184269 ; 	Val Accuracy: 53.400 ;
Epoch: 2 ;	Train Loss: 0.93550505 ;	Train Accuracy: 66.664 ;	Val Loss: 1.15704185 ; 	Val Accuracy: 62.560 ;
Epoch: 3 ;	Train Loss: 0.75422049 ;	Train Accuracy: 73.451 ;	Val Loss: 1.09728195 ; 	Val Accuracy: 65.400 ;
Epoch: 4 ;	Train Loss: 0.64446594 ;	Train Accuracy: 77.471 ;	Val Loss: 1.04857398 ; 	Val Accuracy: 66.100 ;
Epoch: 5 ;	Train Loss: 0.57069827 ;	Train Accuracy: 80.240 ;	Val Loss: 1.08889918 ; 	Val Accuracy: 66.600 ;
Epoch: 6 ;	Train Loss: 0.51716865 ;	Train Accuracy: 82.104 ;	Val Loss: 0.81379169 ; 	Val Accuracy: 72.800 ;
Epoch: 7 ;	Train Loss: 0.47429798 ;	Train Accuracy: 83.593 ;	Val Loss: 0.88454593 ; 	Val Accuracy: 70.900 ;
Epoch: 8 ;	Train Loss: 0.43992914 ;	Train Accuracy: 84.751 ;	Val Loss: 0.73645694 ; 	Val Accuracy: 77.540 ;
Epoch: 9 ;	Train Loss: 0.40738065 ;	Train Accuracy: 85.991 ;	Val Loss: 0.63487183 ; 	Val Accuracy: 80.000 ;
Epoch: 10 ;	Train Loss: 0.38174249 ;	Train Accuracy: 86.664 ;	Val Loss: 0.55066751 ; 	Val Accuracy: 82.560 ;
Epoch: 11 ;	Train Loss: 0.36218851 ;	Train Accuracy: 87.342 ;	Val Loss: 0.89848067 ; 	Val Accuracy: 74.560 ;
Epoch: 12 ;	Train Loss: 0.33815231 ;	Train Accuracy: 88.269 ;	Val Loss: 0.83085780 ; 	Val Accuracy: 75.960 ;
Epoch: 13 ;	Train Loss: 0.32533384 ;	Train Accuracy: 88.733 ;	Val Loss: 0.96183190 ; 	Val Accuracy: 73.200 ;
Epoch: 14 ;	Train Loss: 0.30358677 ;	Train Accuracy: 89.613 ;	Val Loss: 0.57867114 ; 	Val Accuracy: 82.040 ;
Epoch: 15 ;	Train Loss: 0.28877820 ;	Train Accuracy: 90.036 ;	Val Loss: 0.86037723 ; 	Val Accuracy: 76.280 ;
